Company,TypeName,Inches,ScreenResolution,Ram(GB),OpSys,Weight(kg),Price_euros,HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
3,2,15.6,4,8,1,2.2,745.0,1000,0,0,1,141.21,34,2
6,2,17.3,3,4,1,2.8,489.0,1000,0,0,0,106.11,32,1
6,2,17.3,4,8,4,2.8,849.0,2000,0,0,0,127.34,34,2
6,2,17.3,3,6,1,2.8,859.0,1000,128,0,0,106.11,34,2
5,2,15.6,4,4,3,2.25,428.0,1000,0,0,0,141.21,32,0
6,4,15.6,4,8,1,2.5,829.0,0,256,0,1,141.21,33,2
6,2,15.6,4,6,1,2.2,579.0,0,256,0,0,141.21,33,1
3,2,15.6,4,8,1,3.0,951.0,0,256,0,1,141.21,34,2
3,2,15.6,4,12,1,2.15,659.0,1000,0,1,1,141.21,34,1
6,2,15.6,4,8,1,1.95,1097.0,0,256,0,1,141.21,34,1
4,1,15.6,4,8,1,1.7,977.0,0,256,0,0,141.21,33,2
6,4,15.6,4,16,1,2.5,1179.0,1000,256,0,1,141.21,34,2
6,2,15.6,4,8,4,2.2,659.01,1000,0,0,0,141.21,34,2
3,2,15.6,1,2,4,2.19,199.0,0,16,0,0,100.45,29,1
4,4,17.3,4,8,1,3.0,1187.0,1000,0,0,0,127.34,34,2
2,2,17.3,3,8,1,2.54,489.0,1000,0,0,0,106.11,32,1
5,2,15.6,4,8,1,2.0,1829.0,0,256,0,0,141.21,34,2
6,2,15.6,4,8,1,2.05,739.0,0,256,0,0,141.21,33,1
6,4,15.6,4,8,1,3.2,1299.0,1000,0,0,1,141.21,34,2
3,2,15.6,4,8,3,2.5,979.0,0,256,0,0,141.21,34,2
5,6,17.3,4,16,1,3.42,2884.86,0,256,0,0,127.34,34,2
6,2,15.6,4,6,1,2.4,499.0,1000,0,0,0,141.21,0,0
4,1,15.6,4,16,1,1.63,1468.0,0,512,0,0,141.21,34,2
4,2,14.0,1,4,1,1.3,509.0,0,128,0,0,111.94,32,1
4,4,17.3,4,16,1,2.9,2122.0,1000,256,0,0,127.34,34,2
6,2,17.3,3,6,1,2.8,649.0,1000,0,0,0,106.11,33,2
6,2,15.6,1,8,4,2.2,549.0,2000,0,0,0,100.45,33,2
4,4,15.6,4,8,1,2.5,1265.0,1000,128,0,0,141.21,34,2
6,2,15.6,1,4,4,2.2,359.99,1000,0,0,0,100.45,36,1
2,5,13.3,4,16,1,1.28,1975.0,0,256,1,0,165.63,34,1
10,2,15.6,4,8,1,2.2,1043.0,0,256,0,1,141.21,34,2
6,2,15.6,4,8,1,2.3,819.0,1000,128,0,0,141.21,33,2
2,2,15.6,4,4,1,1.86,469.0,1000,0,0,0,141.21,32,1
6,2,13.3,4,8,1,1.1,999.0,0,256,0,1,165.63,33,1
5,1,13.3,15,16,1,1.21,2499.0,0,1000,1,1,331.26,34,1
8,4,15.6,4,16,1,2.8,2099.0,1000,256,0,1,141.21,34,2
3,2,15.6,4,8,1,2.23,469.0,0,256,0,0,141.21,9,0
4,5,11.6,1,2,1,1.1,275.0,0,0,1,0,135.09,29,1
5,2,15.6,4,8,1,2.33,844.0,1000,128,0,0,141.21,33,0
2,5,13.3,15,16,1,1.29,2449.0,0,1000,1,1,331.26,34,1
6,2,13.3,1,4,4,1.45,459.9,0,0,0,0,117.83,29,1
2,2,14.0,4,8,1,1.95,980.0,0,256,0,0,157.35,33,1
3,2,11.6,1,4,1,1.4,485.0,0,0,0,0,135.09,36,1
2,2,14.0,4,8,1,1.48,1292.0,0,256,0,0,157.35,34,1
6,2,17.3,3,4,1,2.79,589.0,1000,0,0,0,106.11,33,2
4,2,14.0,4,8,1,2.0,1094.0,0,256,0,0,157.35,34,1
2,2,15.6,1,8,1,2.1,902.0,1000,0,0,1,100.45,34,1
3,2,15.6,1,8,1,2.2,659.0,0,256,0,0,100.45,4,0
6,2,14.0,1,4,1,1.44,292.0,0,0,0,0,111.94,29,1
3,2,15.6,1,6,1,2.23,549.0,1000,0,0,0,100.45,33,1
4,1,15.6,4,8,1,1.7,1049.9,0,256,0,0,141.21,34,2
2,1,12.5,4,8,1,1.26,1335.0,0,256,0,0,176.23,34,1
5,2,15.6,15,32,1,2.06,2639.0,0,1000,1,0,282.42,34,2
8,4,17.3,4,8,1,2.7,1199.0,1000,256,0,0,127.34,34,2
10,2,15.6,4,8,1,2.0,943.0,0,256,0,1,141.21,33,1
4,2,14.0,4,8,1,2.0,1334.0,1000,256,0,0,157.35,34,1
6,2,15.6,4,4,1,1.85,449.0,1000,0,0,0,141.21,32,1
4,4,15.6,4,8,1,2.5,999.0,0,256,0,0,141.21,34,2
2,2,14.0,4,8,1,1.48,1268.0,0,256,0,0,157.35,33,1
5,1,15.6,4,8,1,1.9,1049.0,1000,128,0,1,141.21,33,2
2,2,15.6,4,8,1,1.84,1144.0,0,256,0,0,141.21,33,1
4,2,15.6,1,4,3,2.0,274.99,1000,0,0,0,100.45,29,1
5,2,15.6,4,8,1,2.0,1142.75,0,256,0,0,141.21,33,2
5,2,15.6,1,4,3,2.2,274.9,500,0,0,0,100.45,29,1
6,2,15.6,4,12,1,2.2,899.0,2000,0,0,0,141.21,4,0
2,2,15.6,4,8,1,2.1,716.0,1000,0,0,1,141.21,32,2
6,5,13.9,15,16,1,1.4,2099.0,0,512,1,1,316.97,34,1
5,1,13.3,4,8,1,1.2,1579.0,0,256,0,0,165.63,34,1
6,4,15.6,4,16,1,2.4,1129.0,2000,256,0,1,141.21,34,2
2,2,14.0,1,2,1,1.44,279.0,0,0,0,0,111.94,29,1
5,1,15.6,4,16,1,1.88,1607.96,0,768,0,0,141.21,34,1
